Time [s],1111-75.0C,1111-68.6C,1111-65.0C,1111-60.2C,1111-55.0C,1111-49.2C,1111-45.8C,1111-40.0C,1111-75.0C,1111-68.6C,1111-65.0C,1111-60.2C,1111-55.0C,1111-49.2C,1111-45.8C,1111-40.0C,1111-75.0C,1111-68.6C,1111-65.0C,1111-60.2C,1111-55.0C,1111-49.2C,1111-45.8C,1111-40.0C,1111-75.0C,1111-68.6C,1111-65.0C,1111-60.2C,1111-55.0C,1111-49.2C,1111-45.8C,1111-40.0C,6151-75.0C,6151-68.6C,6151-65.0C,6151-60.2C,6151-55.0C,6151-49.2C,6151-45.8C,6151-40.0C,6151-75.0C,6151-68.6C,6151-65.0C,6151-60.2C,6151-55.0C,6151-49.2C,6151-45.8C,6151-40.0C,6151-75.0C,6151-68.6C,6151-65.0C,6151-60.2C,6151-55.0C,6151-49.2C,6151-45.8C,6151-40.0C,6151-75.0C,6151-68.6C,6151-65.0C,6151-60.2C,6151-55.0C,6151-49.2C,6151-45.8C,6151-40.0C,6251-75.0C,6251-68.6C,6251-65.0C,6251-60.2C,6251-55.0C,6251-49.2C,6251-45.8C,6251-40.0C,6251-75.0C,6251-68.6C,6251-65.0C,6251-60.2C,6251-55.0C,6251-49.2C,6251-45.8C,6251-40.0C,6251-75.0C,6251-68.6C,6251-65.0C,6251-60.2C,6251-55.0C,6251-49.2C,6251-45.8C,6251-40.0C,6251-75.0C,6251-68.6C,6251-65.0C,6251-60.2C,6251-55.0C,6251-49.2C,6251-45.8C,6251-40.0C
0.0,15.0,14.0,14.0,15.0,31.0,1421.0,2631.0,3581.0,15.0,15.0,15.0,15.0,33.0,1461.0,2637.0,3444.0,16.0,15.0,15.0,15.0,34.0,1344.0,2575.0,3302.0,15.0,14.0,15.0,15.0,34.0,1407.0,2569.0,3269.0,15.0,14.0,14.0,30.0,743.0,1132.0,1174.0,1036.0,15.0,15.0,15.0,30.0,721.0,1176.0,1168.0,1134.0,15.0,20.0,16.0,31.0,739.0,1118.0,1173.0,1033.0,15.0,15.0,15.0,30.0,724.0,1108.0,1155.0,1060.0,15.0,14.0,15.0,16.0,208.0,710.0,781.0,481.0,13.0,14.0,15.0,16.0,207.0,701.0,777.0,517.0,14.0,13.0,14.0,17.0,218.0,631.0,777.0,511.0,14.0,15.0,14.0,17.0,237.0,661.0,772.0,521.0
119.811,16.0,14.0,15.0,15.0,43.0,2296.0,4422.0,5893.0,16.0,15.0,15.0,15.0,46.0,2318.0,4397.0,5654.0,16.0,15.0,15.0,15.0,46.0,2211.0,4338.0,5523.0,15.0,15.0,15.0,15.0,46.0,2311.0,4269.0,5196.0,14.0,14.0,14.0,38.0,1181.0,1828.0,2044.0,1805.0,16.0,14.0,15.0,39.0,1094.0,1956.0,1991.0,1982.0,15.0,19.0,15.0,40.0,1158.0,1845.0,1987.0,1805.0,15.0,14.0,14.0,41.0,1165.0,1806.0,1970.0,1859.0,15.0,14.0,15.0,18.0,330.0,1200.0,1324.0,878.0,14.0,14.0,15.0,18.0,330.0,1151.0,1294.0,891.0,14.0,13.0,14.0,18.0,344.0,1050.0,1248.0,880.0,14.0,15.0,14.0,18.0,365.0,1085.0,1286.0,899.0
239.813,22.0,16.0,15.0,15.0,55.0,3144.0,5839.0,8211.0,15.0,15.0,15.0,15.0,58.0,3209.0,5663.0,7429.0,16.0,15.0,15.0,15.0,59.0,2991.0,5537.0,7052.0,16.0,14.0,15.0,15.0,60.0,3109.0,5659.0,7228.0,15.0,15.0,14.0,47.0,1594.0,2442.0,2753.0,2548.0,16.0,15.0,15.0,48.0,1469.0,2623.0,2750.0,2761.0,15.0,19.0,15.0,48.0,1543.0,2432.0,2657.0,2501.0,15.0,15.0,15.0,49.0,1599.0,2428.0,2693.0,2622.0,15.0,15.0,15.0,19.0,436.0,1598.0,1887.0,1241.0,14.0,14.0,15.0,19.0,440.0,1587.0,1767.0,1279.0,15.0,13.0,14.0,19.0,457.0,1415.0,1730.0,1229.0,15.0,16.0,15.0,20.0,497.0,1479.0,1736.0,1251.0
359.813,62,16,15,15,66,3941,7323,10743,16,15,15,16,69,3934,6912,9435,17,15,15,16,70,3798,6944,9048,16,14,15,16,71,3951,6973,9243,19,15,15,54,1999,2985,3360,3094,16,15,16,55,1822,3190,3411,3386,15,20,15,57,1907,2997,3307,3030,16,15,15,56,1947,3088,3404,3279,15,15,15,20,529,1996,2314,1572,14,15,15,20,535,1969,2217,1597,15,14,14,20,561,1779,2171,1586,15,15,15,21,623,1784,2148,1628
479.831,56.0,16.0,15.0,15.0,78.0,4794.0,8676.0,13205.0,16.0,15.0,15.0,16.0,79.0,4654.0,8193.0,11394.0,17.0,15.0,15.0,16.0,82.0,4468.0,8449.0,11135.0,16.0,15.0,16.0,16.0,81.0,4715.0,8446.0,11476.0,19.0,15.0,15.0,62.0,2326.0,3496.0,3702.0,3536.0,16.0,15.0,15.0,64.0,2163.0,3694.0,3845.0,3903.0,16.0,20.0,16.0,64.0,2261.0,3574.0,3752.0,3533.0,16.0,15.0,16.0,66.0,2321.0,3561.0,3943.0,3649.0,16.0,15.0,15.0,21.0,633.0,2327.0,2724.0,1882.0,14.0,15.0,15.0,21.0,639.0,2253.0,2613.0,1926.0,15.0,14.0,15.0,21.0,659.0,2081.0,2564.0,1911.0,15.0,16.0,15.0,22.0,747.0,2188.0,2535.0,1984.0
599.828,58.0,16.0,15.0,15.0,89.0,5260.0,10171.0,15226.0,17.0,16.0,16.0,16.0,88.0,5222.0,9722.0,12943.0,18.0,16.0,16.0,17.0,92.0,5056.0,9720.0,12911.0,17.0,15.0,16.0,16.0,92.0,5246.0,9750.0,13305.0,17.0,15.0,15.0,69.0,2668.0,3952.0,4168.0,3995.0,16.0,15.0,16.0,70.0,2485.0,4218.0,4312.0,4341.0,16.0,22.0,16.0,72.0,2597.0,3966.0,4244.0,3987.0,16.0,16.0,17.0,73.0,2617.0,4017.0,4242.0,4087.0,16.0,15.0,16.0,23.0,713.0,2656.0,3013.0,2098.0,14.0,16.0,16.0,23.0,727.0,2613.0,2879.0,2190.0,15.0,14.0,15.0,22.0,740.0,2367.0,2825.0,2149.0,14.0,16.0,15.0,23.0,844.0,2433.0,2729.0,2230.0
719.839,86.0,16.0,15.0,16.0,96.0,5739.0,11296.0,17099.0,17.0,16.0,16.0,16.0,98.0,5873.0,10888.0,15163.0,18.0,16.0,16.0,17.0,102.0,5400.0,10959.0,14568.0,17.0,15.0,16.0,16.0,101.0,5976.0,10931.0,15027.0,24.0,15.0,15.0,73.0,2964.0,4293.0,4557.0,4511.0,16.0,16.0,16.0,76.0,2826.0,4511.0,4699.0,4986.0,16.0,21.0,16.0,76.0,2889.0,4344.0,4611.0,4512.0,17.0,15.0,16.0,79.0,2890.0,4439.0,4725.0,4634.0,16.0,15.0,15.0,23.0,804.0,2916.0,3250.0,2279.0,14.0,16.0,15.0,24.0,821.0,2840.0,3105.0,2395.0,16.0,15.0,15.0,23.0,819.0,2620.0,3099.0,2320.0,15.0,16.0,15.0,24.0,947.0,2639.0,2927.0,2469.0
839.833,38.0,16.0,16.0,16.0,106.0,6469.0,12849.0,19134.0,17.0,16.0,16.0,16.0,110.0,6440.0,12070.0,16606.0,18.0,16.0,16.0,17.0,112.0,5896.0,12297.0,16125.0,17.0,15.0,16.0,17.0,112.0,6620.0,12282.0,16709.0,22.0,16.0,16.0,80.0,3230.0,4672.0,4971.0,4939.0,17.0,15.0,16.0,83.0,3058.0,4929.0,5317.0,5490.0,17.0,21.0,17.0,82.0,3200.0,4601.0,5134.0,5016.0,16.0,16.0,17.0,85.0,3184.0,4718.0,5215.0,5077.0,16.0,16.0,16.0,24.0,893.0,3178.0,3487.0,2474.0,15.0,16.0,16.0,24.0,878.0,3143.0,3386.0,2546.0,16.0,14.0,15.0,24.0,895.0,2866.0,3465.0,2503.0,16.0,17.0,15.0,25.0,1033.0,2868.0,3303.0,2595.0
959.836,65.0,16.0,16.0,16.0,114.0,7231.0,14141.0,21013.0,17.0,16.0,16.0,17.0,116.0,7150.0,13462.0,18073.0,19.0,16.0,16.0,17.0,121.0,6607.0,13312.0,17877.0,18.0,15.0,15.0,17.0,117.0,7128.0,13538.0,18281.0,16.0,16.0,15.0,84.0,3448.0,4975.0,5536.0,5427.0,17.0,16.0,16.0,87.0,3260.0,5203.0,5777.0,6003.0,16.0,21.0,17.0,88.0,3455.0,5050.0,5553.0,5393.0,17.0,16.0,17.0,90.0,3478.0,5136.0,5620.0,5644.0,16.0,16.0,16.0,25.0,947.0,3424.0,3860.0,2666.0,14.0,16.0,16.0,25.0,955.0,3301.0,3783.0,2777.0,16.0,15.0,15.0,25.0,975.0,3118.0,3753.0,2700.0,15.0,17.0,15.0,26.0,1100.0,3109.0,3630.0,2836.0
1079.836,45.0,16.0,16.0,16.0,119.0,7630.0,14737.0,22736.0,17.0,16.0,16.0,17.0,122.0,7691.0,14111.0,19865.0,19.0,16.0,17.0,17.0,123.0,7015.0,14399.0,18710.0,18.0,16.0,16.0,17.0,124.0,7664.0,14618.0,19756.0,20.0,16.0,16.0,89.0,3757.0,5269.0,6003.0,5657.0,17.0,16.0,17.0,91.0,3439.0,5415.0,6127.0,6464.0,17.0,21.0,17.0,91.0,3648.0,5325.0,5821.0,6001.0,17.0,16.0,17.0,94.0,3667.0,5380.0,5960.0,5906.0,16.0,16.0,17.0,25.0,1002.0,3589.0,4029.0,2817.0,15.0,16.0,16.0,26.0,1000.0,3567.0,3999.0,2904.0,16.0,15.0,15.0,26.0,1056.0,3191.0,3971.0,2823.0,15.0,17.0,15.0,26.0,1166.0,3255.0,3729.0,3019.0
