,DataName,DataType,DataOperation,DataAnalysisTool,Datasets,Refname,Well,Fluorescence,Container ID,Aliquot ID,Aliquot Name,Aliquot Volume (ul),Activity-Assay-Master-Mix:LigandMix,Activity-Assay-Master-Mix:Volume,Activity-Assay-Master-Mix:Kind,incubation_temp,AccuRapid-Ecoli-Extract-Mix:MasterMix,AccuRapid-Ecoli-Extract-Mix:Volume,AccuRapid-Ecoli-Extract-Mix:Kind,AccuRapid-Master-Mix:MasterMix,AccuRapid-Master-Mix:Volume,AccuRapid-Master-Mix:Kind,source,GAIN,DataTimepoint,Dataanalysis_tool,Dataanalysis_tool_version,Dataattachments,Datacreated_at,Datadata_type,Datadeleted_at,Datadeletion_requested,Dataid,Datainstruction_id,Datais_analysis,Datarun_id,Datatitle,Datauploaded_by,Datawarp_id,read_num,excitation_nm,emission_nm
827,Row:0-ct1ffg5rdguqzjm-ProteinActivity-Plate-Read[8 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.objects.Dataset object at 0x112bc0590>,Row:0-ct1ffg5rdguqzjm-ProteinActivity-Plate,E12,9.452342151776119,ct1ffua5u4key3x,aq1ffxcv3nujx6y,,10.0,,,,,,,,,,,,0.1607843137254902,2021-03-02T13:55:34.531-08:00,,,[],2021-03-02T13:55:35.004-08:00,platereader,,False,d13q5k92bxjpyd,i1ffua5twzuwb2,False,,,,w13q5jgxyvgftf,8,372,445
828,Row:0-ct1ffg5rdguqzjm-ProteinActivity-Plate-Read[8 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.objects.Dataset object at 0x112bc0590>,Row:0-ct1ffg5rdguqzjm-ProteinActivity-Plate,F1,173.33748834970538,ct1ffua5u4key3x,aq1ffxbdtb48mhp,,100.0,,,,37:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1fdrbvet5khpa:0,0.1607843137254902,2021-03-02T13:55:34.531-08:00,,,[],2021-03-02T13:55:35.004-08:00,platereader,,False,d13q5k92bxjpyd,i1ffua5twzuwb2,False,,,,w13q5jgxyvgftf,8,372,445
829,Row:0-ct1ffg5rdguqzjm-ProteinActivity-Plate-Read[8 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.objects.Dataset object at 0x112bc0590>,Row:0-ct1ffg5rdguqzjm-ProteinActivity-Plate,F2,8.603514059525553,ct1ffua5u4key3x,aq1ffxbdtb9wm6t,,100.0,,,,37:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1fdrbvet5khpa:1,0.1607843137254902,2021-03-02T13:55:34.531-08:00,,,[],2021-03-02T13:55:35.004-08:00,platereader,,False,d13q5k92bxjpyd,i1ffua5twzuwb2,False,,,,w13q5jgxyvgftf,8,372,445
830,Row:0-ct1ffg5rdguqzjm-ProteinActivity-Plate-Read[8 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.objects.Dataset object at 0x112bc0590>,Row:0-ct1ffg5rdguqzjm-ProteinActivity-Plate,F3,289.4495847767019,ct1ffua5u4key3x,aq1ffxbzt7auben,,100.0,,,,37:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1fdrbvet5khpa:2,0.1607843137254902,2021-03-02T13:55:34.531-08:00,,,[],2021-03-02T13:55:35.004-08:00,platereader,,False,d13q5k92bxjpyd,i1ffua5twzuwb2,False,,,,w13q5jgxyvgftf,8,372,445
831,Row:0-ct1ffg5rdguqzjm-ProteinActivity-Plate-Read[8 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.objects.Dataset object at 0x112bc0590>,Row:0-ct1ffg5rdguqzjm-ProteinActivity-Plate,F4,169.37851499411897,ct1ffua5u4key3x,aq1ffxbzt7ghb3t,,100.0,,,,37:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1fdrbvet5khpa:3,0.1607843137254902,2021-03-02T13:55:34.531-08:00,,,[],2021-03-02T13:55:35.004-08:00,platereader,,False,d13q5k92bxjpyd,i1ffua5twzuwb2,False,,,,w13q5jgxyvgftf,8,372,445
832,Row:0-ct1ffg5rdguqzjm-ProteinActivity-Plate-Read[8 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.objects.Dataset object at 0x112bc0590>,Row:0-ct1ffg5rdguqzjm-ProteinActivity-Plate,F5,6.925839762994858,ct1ffua5u4key3x,aq1ffxcwubccjzf,,10.0,,,,,,,,,,,,0.1607843137254902,2021-03-02T13:55:34.531-08:00,,,[],2021-03-02T13:55:35.004-08:00,platereader,,False,d13q5k92bxjpyd,i1ffua5twzuwb2,False,,,,w13q5jgxyvgftf,8,372,445
833,Row:0-ct1ffg5rdguqzjm-ProteinActivity-Plate-Read[8 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.objects.Dataset object at 0x112bc0590>,Row:0-ct1ffg5rdguqzjm-ProteinActivity-Plate,F6,7.748942686662088,ct1ffua5u4key3x,aq1ffxcwubccjzh,,10.0,,,,,,,,,,,,0.1607843137254902,2021-03-02T13:55:34.531-08:00,,,[],2021-03-02T13:55:35.004-08:00,platereader,,False,d13q5k92bxjpyd,i1ffua5twzuwb2,False,,,,w13q5jgxyvgftf,8,372,445
834,Row:0-ct1ffg5rdguqzjm-ProteinActivity-Plate-Read[8 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.objects.Dataset object at 0x112bc0590>,Row:0-ct1ffg5rdguqzjm-ProteinActivity-Plate,F7,6.636981837431327,ct1ffua5u4key3x,aq1ffxcwubdgs5e,,10.0,,,,,,,,,,,,0.1607843137254902,2021-03-02T13:55:34.531-08:00,,,[],2021-03-02T13:55:35.004-08:00,platereader,,False,d13q5k92bxjpyd,i1ffua5twzuwb2,False,,,,w13q5jgxyvgftf,8,372,445
835,Row:0-ct1ffg5rdguqzjm-ProteinActivity-Plate-Read[8 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.objects.Dataset object at 0x112bc0590>,Row:0-ct1ffg5rdguqzjm-ProteinActivity-Plate,F8,8.397265179363545,ct1ffua5u4key3x,aq1ffxcwubdgs5g,,10.0,,,,,,,,,,,,0.1607843137254902,2021-03-02T13:55:34.531-08:00,,,[],2021-03-02T13:55:35.004-08:00,platereader,,False,d13q5k92bxjpyd,i1ffua5twzuwb2,False,,,,w13q5jgxyvgftf,8,372,445
836,Row:0-ct1ffg5rdguqzjm-ProteinActivity-Plate-Read[8 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.objects.Dataset object at 0x112bc0590>,Row:0-ct1ffg5rdguqzjm-ProteinActivity-Plate,F9,6.212402967475324,ct1ffua5u4key3x,aq1ffxcwubemy9f,,10.0,,,,,,,,,,,,0.1607843137254902,2021-03-02T13:55:34.531-08:00,,,[],2021-03-02T13:55:35.004-08:00,platereader,,False,d13q5k92bxjpyd,i1ffua5twzuwb2,False,,,,w13q5jgxyvgftf,8,372,445
837,Row:0-ct1ffg5rdguqzjm-ProteinActivity-Plate-Read[8 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.objects.Dataset object at 0x112bc0590>,Row:0-ct1ffg5rdguqzjm-ProteinActivity-Plate,F10,6.479541596562907,ct1ffua5u4key3x,aq1ffxcwubemy9h,,10.0,,,,,,,,,,,,0.1607843137254902,2021-03-02T13:55:34.531-08:00,,,[],2021-03-02T13:55:35.004-08:00,platereader,,False,d13q5k92bxjpyd,i1ffua5twzuwb2,False,,,,w13q5jgxyvgftf,8,372,445
